search_query,search_page,search_position,title,description,brand,model,search_price,url
50kWh SpaceTourer,1,1,Citroen SpaceTourer,NA,Citroen,SpaceTourer,195000,https://www.finn.no/mobility/item/451015720
75kWt SpaceTourer,1,1,Citroen SpaceTourer,75kWt L3 Shine,Citroen,SpaceTourer,374434,https://www.finn.no/mobility/item/441656103
75kWt SpaceTourer,1,2,Citroen SpaceTourer,75kWt 6 seter Fantastisk familiebil | Leveringsklar,Citroen,SpaceTourer,374900,https://www.finn.no/mobility/item/460924816
75kWt SpaceTourer,1,3,Citroen E-SpaceTourer,75kWt L2 Shine,Citroen,E-SpaceTourer,375000,https://www.finn.no/mobility/item/462489982
75kWt SpaceTourer,1,4,Citroen SpaceTourer,75kWt 6 seter MOMSFRADRAG VED LEASING/PÅSKEKAMPANJE,Citroen,SpaceTourer,379900,https://www.finn.no/mobility/item/460885571
75kWt SpaceTourer,1,5,Citroen SpaceTourer,340km 75kWt L3 Plus 9-seter/Ryggekamera/Navigasjon/ACC,Citroen,SpaceTourer,779000,https://www.finn.no/mobility/item/463485562
Citroen E-SpaceTourer,1,1,Citroen C4,Puretech 131hk AT | Navi | Ryggekamera | EU 05/27,Citroen,C4,139900,https://www.finn.no/mobility/item/460131170
Citroen E-SpaceTourer,1,2,Citroen Grand C4 Spacetourer,BlueHDI 130 Shine aut - 7 SETER - TOPPMODELL,Citroen,Grand C4 Spacetourer,174900,https://www.finn.no/mobility/item/453730792
Citroen E-SpaceTourer,1,4,Citroen C4,131HK Aut Pano R.kam Massasje Lav km 360° ACC / Carplay,Citroen,C4,199000,https://www.finn.no/mobility/item/460763516
Citroen E-SpaceTourer,1,5,Citroen Grand C4 Spacetourer,PureTech 130 Shine Pack aut,Citroen,Grand C4 Spacetourer,229000,https://www.finn.no/mobility/item/462533291
Citroen E-SpaceTourer,1,6,Citroen Grand C4 Spacetourer,131hk Automat/7-Seter/Pano/ACC/Kamera/Dab/Navigasjon/BT,Citroen,Grand C4 Spacetourer,239000,https://www.finn.no/mobility/item/413302959
Citroen E-SpaceTourer,1,7,Opel Zafira,75kWh L2 Elegance | 6 seter | Skinn,Opel,Zafira,357000,https://www.finn.no/mobility/item/460486066
Citroen E-SpaceTourer,1,10,Citroen SpaceTourer,120hk Diesel 9-seter Personbil/Business/ 2x Skyvedør+++,Citroen,SpaceTourer,399900,https://www.finn.no/mobility/item/449163455
Citroen E-SpaceTourer,1,11,Citroen SpaceTourer,177Hk 8-seter Exlusive/Massasje/Skinn/Navi/Panorama++,Citroen,SpaceTourer,449900,https://www.finn.no/mobility/item/449164002
e-SpaceTourer,1,4,Citroen Grand C4 Spacetourer,Spacetourer/Krok /Pano/Kamera/7-seter/ACC/Automat,Citroen,Grand C4 Spacetourer,199000,https://www.finn.no/mobility/item/450558416
Opel Zafira e-Life,1,1,Opel Zafira,Life 9-Seter 50KWh 212km / Cruise / CarPlay / S+V / DAB,Opel,Zafira,239000,https://www.finn.no/mobility/item/433519464
Opel Zafira e-Life,1,2,Opel Vivaro,Life/Vivaro/6 seter/50hwh/Kamera/,Opel,Vivaro,268000,https://www.finn.no/mobility/item/460936892
Opel Zafira e-Life,1,3,Opel Zafira,BRUKTBILKAMPANJE 136hk 50kWt 8- seter | Skinn,Opel,Zafira,279000,https://www.finn.no/mobility/item/462768464
Opel Zafira e-Life,1,4,Opel Zafira,"El- L3 75kWh 136hk 8-seter, landets billigste, eu ok",Opel,Zafira,299900,https://www.finn.no/mobility/item/461006616
Opel Zafira e-Life,1,5,Opel Zafira,Elegance L3 50kWh 136hk,Opel,Zafira,319532,https://www.finn.no/mobility/item/459060409
Opel Zafira e-Life,1,6,Opel Vivaro,Life/Vivaro/75kwh/8 seter/Lang-L3/Vårsalg!,Opel,Vivaro,337000,https://www.finn.no/mobility/item/436123185
Opel Zafira e-Life,1,8,Opel Zafira,Elegance L2 75kWh 136hk,Opel,Zafira,399000,https://www.finn.no/mobility/item/460970224
Opel Zafira e-Life,1,9,Opel Zafira,LIFE/75kWh/L3/BUSINESS/9-SETER/CRUISE/R.KAM/XENON/NAVI,Opel,Zafira,429900,https://www.finn.no/mobility/item/463476333
Opel Zafira e-Life,1,10,Opel Zafira,NORSK GS L3 75KWH 8 SETER ACC CARPLAY MYOPEL APP KAMERA,Opel,Zafira,599000,https://www.finn.no/mobility/item/450759876
Peugeot e-Traveller,1,1,Peugeot Expert,TRAVELLER / KROK / 360 KAMERA / NAVI / HUD / CC+++++,Peugeot,Expert,289000,https://www.finn.no/mobility/item/459764946
Peugeot e-Traveller,1,2,Peugeot Expert,EXCLUSIVE 8-SETER 2.0 HDi 150HK/SKINN/PANO/LED/NAVI+++,Peugeot,Expert,319800,https://www.finn.no/mobility/item/459072453
Peugeot e-Traveller,1,3,Peugeot e-Traveller,8 Seter / 330km / Skinn / Pano / ACC / HUD / Massasje +,Peugeot,e-Traveller,329900,https://www.finn.no/mobility/item/459723398
Peugeot e-Traveller,1,4,Peugeot e-Traveller,L2 Allure 75kWt,Peugeot,e-Traveller,339532,https://www.finn.no/mobility/item/460798037
Peugeot e-Traveller,1,5,Peugeot e-Traveller,L2 Allure 75kWt,Peugeot,e-Traveller,339532,https://www.finn.no/mobility/item/458788597
Peugeot e-Traveller,1,6,Peugeot e-Traveller,Allure / 7-SETER / SKINN / RYGGEKAMERA / GLASSTAK /,Peugeot,e-Traveller,349000,https://www.finn.no/mobility/item/463472940
Peugeot e-Traveller,1,7,Peugeot e-Traveller,Allure / 8-SETER / SKINN / RYGGEKAMERA / GLASSTAK /,Peugeot,e-Traveller,349000,https://www.finn.no/mobility/item/463471877
Peugeot e-Traveller,1,8,Peugeot e-Traveller,75 kWh L3 8 seter BIS | SKINN| EL.DØRER|,Peugeot,e-Traveller,349000,https://www.finn.no/mobility/item/462879973
Peugeot e-Traveller,1,9,Peugeot Traveller,2.0 177HK Exclusive 8.Seter/Krok/Massasje/Pano/Hud/Navi,Peugeot,Traveller,349000,https://www.finn.no/mobility/item/461145531
Peugeot e-Traveller,1,10,Peugeot e-Traveller,"136 hk | L2 | 9 seter | 30,5 mil WLP | H-feste |",Peugeot,e-Traveller,379000,https://www.finn.no/mobility/item/460911550
Peugeot e-Traveller,1,11,Peugeot e-Traveller,L3 75 kWt Lane Assist/Fjernlysassistent/R.kamera,Peugeot,e-Traveller,389000,https://www.finn.no/mobility/item/455979534
Peugeot e-Traveller,1,12,Peugeot e-Traveller,75 kWh Aut 8 SETER 2 El.Skyved/R.kam Skinn Pano Masasje,Peugeot,e-Traveller,399532,https://www.finn.no/mobility/item/462910944
